,Title,Director,Main Genres,Motion Picture Rating,Rating (Out of 10),Release Year
2602,Let Me In,Matt Reeves,"Drama,Fantasy,Horror",R,7.1,2010.0
2705,Burlesque,Steve Antin,"Drama,Music,Musical",PG-13,6.4,2010.0
2727,Rare Exports,Jalmari Helander,"Adventure,Fantasy,Horror",R,6.6,2010.0
2741,Unthinkable,Gregor Jordan,"Crime,Drama,Thriller",R,7.0,2010.0
2754,Date Night,Shawn Levy,"Comedy,Crime,Romance",PG-13,6.3,2010.0
2765,Centurion,Neil Marshall,"Action,Drama,History",R,6.3,2010.0
2817,Frozen,Adam Green,"Adventure,Thriller",R,6.2,2010.0
2921,A Serbian Film,Srdjan Spasojevic,"Horror,Mystery,Thriller",NC-17,5.0,2010.0
2998,Four Lions,Christopher Morris,"Comedy,Crime,Drama",R,7.3,2010.0
2999,The Way Back,Peter Weir,"Adventure,Drama,History",PG-13,7.3,2010.0
3054,The Tourist,Florian Henckel von Donnersmarck,"Action,Thriller",PG-13,6.0,2010.0
3073,Shrek Forever After,Mike Mitchell,"Animation,Adventure,Comedy",PG,6.3,2010.0
3087,Buried,Rodrigo Cortés,"Drama,Mystery,Thriller",R,7.0,2010.0
3126,Leap Year,Michael Rowe,"Drama,Romance",Unrated,5.9,2010.0
3129,The Ghost Writer,Roman Polanski,"Crime,Drama,Mystery",PG-13,7.2,2010.0
3199,The Extraordinary Adventures of Adèle Blanc-Sec,Luc Besson,"Action,Adventure,Comedy",PG,6.3,2010.0
3208,A Nightmare on Elm Street,Samuel Bayer,"Crime,Drama,Horror",R,5.2,2010.0
3338,Valentine's Day,Garry Marshall,"Comedy,Romance",PG-13,5.7,2010.0
3368,Eat Pray Love,Ryan Murphy,"Biography,Drama,Romance",PG-13,5.8,2010.0
3573,Leap Year,Anand Tucker,"Comedy,Romance",PG,6.4,2010.0
3590,How Do You Know,James L. Brooks,"Comedy,Drama,Romance",PG-13,5.4,2010.0
3610,The Secret World of Arrietty,Hiromasa Yonebayashi,"Animation,Adventure,Drama",G,7.6,2010.0
3646,Due Date,Todd Phillips,"Comedy,Drama",R,6.5,2010.0
3717,The Sorcerer's Apprentice,Jon Turteltaub,"Action,Adventure,Family",PG,6.1,2010.0
3731,Wild Target,Jonathan Lynn,"Action,Comedy,Crime",PG-13,6.7,2010.0
3979,Come Undone,Silvio Soldini,"Drama,Romance",Unrated,6.0,2010.0
4038,Takers,John Luessenhop,"Action,Crime,Drama",PG-13,6.2,2010.0
4068,My Name Is Khan,Karan Johar,"Adventure,Drama,Romance",PG-13,7.9,2010.0
4104,Rubber,Quentin Dupieux,"Comedy,Fantasy,Horror",R,5.7,2010.0
4106,The Switch,"Josh Gordon,Will Speck","Comedy,Drama,Romance",PG-13,6.1,2010.0
4146,The Man from Nowhere,Lee Jeong-beom,"Action,Crime,Drama",R,7.7,2010.0
4149,All Good Things,Andrew Jarecki,"Crime,Drama,Mystery",R,6.3,2010.0
4234,Devil,John Erick Dowdle,"Horror,Mystery,Thriller",PG-13,6.3,2010.0
4238,Get Him to the Greek,Nicholas Stoller,"Comedy,Music",R,6.3,2010.0
4307,Submarine,Richard Ayoade,"Comedy,Drama,Romance",R,7.3,2010.0
4402,Dinner for Schmucks,Jay Roach,Comedy,PG-13,5.9,2010.0
4548,The Crazies,Breck Eisner,Horror,R,6.5,2010.0
4624,The Bounty Hunter,Andy Tennant,"Action,Comedy,Romance",PG-13,5.5,2010.0
4632,The Final,Joey Stewart,"Drama,Horror,Thriller",R,5.3,2010.0
4646,Nanny McPhee Returns,Susanna White,"Comedy,Family,Fantasy",PG,6.1,2010.0
4651,The Losers,Sylvain White,"Action,Adventure,Comedy",PG-13,6.2,2010.0
4712,Four Lovers,Antony Cordier,Romance,Unrated,5.6,2010.0
4717,Inside Job,Charles Ferguson,"Documentary,Crime",PG-13,8.2,2010.0
4724,Super,James Gunn,"Action,Comedy,Crime",R,6.7,2010.0
4778,Troll Hunter,André Øvredal,"Drama,Fantasy,Horror",PG-13,6.9,2010.0
4817,I'm Still Here,Casey Affleck,"Comedy,Drama,Music",R,6.2,2010.0
4855,The Killer Inside Me,Michael Winterbottom,"Crime,Drama,Mystery",R,6.1,2010.0
4908,Dear John,Lasse Hallström,"Drama,Romance,War",PG-13,6.3,2010.0
4954,The Kids Are All Right,Lisa Cholodenko,"Comedy,Drama,Romance",R,7.0,2010.0
4955,Womb,Benedek Fliegauf,"Drama,Romance,Sci-Fi",Not Rated,6.3,2010.0
4972,Hereafter,Clint Eastwood,"Drama,Fantasy,Romance",PG-13,6.5,2010.0
5059,Harry Potter and the Deathly Hallows: Part 1,David Yates,"Adventure,Family,Fantasy",PG-13,7.7,2010.0
5171,Little Fockers,Paul Weitz,"Comedy,Romance",PG-13,5.5,2010.0
5177,Faster,George Tillman Jr.,"Action,Crime,Drama",R,6.4,2010.0
5409,Animal Kingdom,David Michôd,"Crime,Drama,Thriller",R,7.2,2010.0
5419,Morning Glory,Roger Michell,"Comedy,Drama,Romance",PG-13,6.5,2010.0
5421,Wall Street: Money Never Sleeps,Oliver Stone,Drama,PG-13,6.2,2010.0
5472,Elena Undone,Nicole Conn,"Drama,Romance",Not Rated,6.1,2010.0
5649,Resident Evil: Afterlife,Paul W.S. Anderson,"Action,Horror,Sci-Fi",R,5.8,2010.0
5705,Life as We Know It,Greg Berlanti,"Comedy,Drama,Romance",PG-13,6.5,2010.0
5764,MacGruber,Jorma Taccone,"Action,Comedy",R,5.6,2010.0
5778,Three Steps Above Heaven,Fernando González Molina,"Action,Drama,Romance",Not Rated,6.8,2010.0
5808,Black Death,Christopher Smith,"Action,Drama,History",R,6.4,2010.0
5854,The Last Song,Julie Anne Robinson,"Drama,Music,Romance",PG,6.0,2010.0
5865,Trust,David Schwimmer,"Crime,Drama,Mystery",R,6.9,2010.0
5921,Death at a Funeral,Neil LaBute,"Comedy,Drama",R,5.7,2010.0
5994,Bloomington,Fernanda Cardoso,Drama,Not Rated,5.8,2010.0
6001,You Again,Andy Fickman,"Comedy,Romance",PG,5.7,2010.0
6061,Letters to Juliet,Gary Winick,"Adventure,Comedy,Drama",PG,6.5,2010.0
6151,Legion,Scott Stewart,"Action,Fantasy,Horror",R,5.3,2010.0
6156,Black Swan,Darren Aronofsky,"Drama,Thriller",R,8.0,2010.0
6166,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"Adventure,Family,Fantasy",PG,5.9,2010.0
6269,Secretariat,Randall Wallace,"Biography,Drama,Family",PG,7.2,2010.0
6308,Killers,Robert Luketic,"Action,Comedy,Romance",PG-13,5.4,2010.0
6368,Country Strong,Shana Feste,"Drama,Music",PG-13,6.3,2010.0
6420,The Ward,John Carpenter,"Horror,Mystery,Thriller",R,5.5,2010.0
6426,13 Assassins,Takashi Miike,"Action,Adventure,Drama",R,7.5,2010.0
6441,The Warrior's Way,Sngmoo Lee,"Action,Drama,Fantasy",R,6.2,2010.0
6467,The Runaways,Floria Sigismondi,"Biography,Drama,Music",R,6.5,2010.0
6470,Tooth Fairy,Michael Lembeck,"Comedy,Family,Fantasy",PG,5.0,2010.0
6553,Last Night,Massy Tadjedin,"Drama,Romance",R,6.5,2010.0
6692,Love & Other Drugs,Edward Zwick,"Comedy,Drama,Romance",R,6.7,2010.0
6748,Green Zone,Paul Greengrass,"Action,Drama,Thriller",R,6.8,2010.0
6751,Somewhere,Sofia Coppola,"Comedy,Drama,Romance",R,6.3,2010.0
6787,Beyond the Black Rainbow,Panos Cosmatos,"Horror,Mystery,Sci-Fi",R,5.9,2010.0
6813,Biutiful,Alejandro G. Iñárritu,"Drama,Romance",R,7.4,2010.0
6903,The Experiment,Paul T. Scheuring,"Drama,Thriller",R,6.4,2010.0
6916,Elektra Luxx,Sebastian Gutierrez,"Comedy,Drama",R,5.0,2010.0
6971,Dirty Girl,Abe Sylvia,"Comedy,Drama",R,6.4,2010.0
7055,Don't Be Afraid of the Dark,Troy Nixey,"Fantasy,Horror,Thriller",R,5.5,2010.0
7124,Edge of Darkness,Martin Campbell,"Action,Adventure,Drama",R,6.6,2010.0
7223,Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,"Animation,Action,Adventure",PG,6.9,2010.0
7292,The Back-up Plan,Alan Poul,"Comedy,Romance",PG-13,5.3,2010.0
7497,It's Kind of a Funny Story,"Ryan Fleck,Anna Boden","Comedy,Drama,Romance",PG-13,7.1,2010.0
7539,The Company Men,John Wells,Drama,R,6.7,2010.0
7727,13,Géla Babluani,"Crime,Drama,Thriller",R,6.0,2010.0
7828,I Spit on Your Grave,Steven R. Monroe,"Horror,Thriller",R,6.2,2010.0
7865,Bereavement,Stevan Mena,"Crime,Horror,Thriller",R,5.0,2010.0
7891,From Paris with Love,Pierre Morel,"Action,Crime,Thriller",R,6.4,2010.0
7896,The Conspirator,Robert Redford,"Crime,Drama,History",PG-13,6.9,2010.0
7983,The Whistleblower,Larysa Kondracki,"Biography,Crime,Drama",R,7.1,2010.0
8135,Cop Out,Kevin Smith,"Action,Comedy,Crime",R,5.5,2010.0
8174,Greenberg,Noah Baumbach,"Comedy,Drama,Romance",R,6.2,2010.0
8335,Grown Ups,Dennis Dugan,Comedy,PG-13,6.0,2010.0
8343,Robin Hood,Ridley Scott,"Action,Adventure,Drama",PG-13,6.6,2010.0
8371,Remember Me,Allen Coulter,"Drama,Romance",PG-13,7.1,2010.0
8397,The Housemaid,Im Sang-soo,"Drama,Thriller",Not Rated,6.4,2010.0
8411,Exit Through the Gift Shop,Banksy,"Documentary,Comedy,Crime",R,7.9,2010.0
8434,The Reef,Andrew Traucki,"Adventure,Drama,Horror",R,5.8,2010.0
8459,Repo Men,Miguel Sapochnik,"Action,Sci-Fi,Thriller",R,6.3,2010.0
8554,Senna,Asif Kapadia,"Documentary,Biography,Sport",PG-13,8.5,2010.0
8561,For Colored Girls,Tyler Perry,Drama,R,6.2,2010.0
8594,Fair Game,Doug Liman,"Biography,Drama,Thriller",PG-13,6.8,2010.0
8709,Dog Pound,Kim Chapiron,"Crime,Drama",Not Rated,7.0,2010.0
8785,When in Rome,Mark Steven Johnson,"Comedy,Romance",PG-13,5.5,2010.0
8834,London Boulevard,William Monahan,"Crime,Drama",R,6.2,2010.0
9008,Step Up 3D,Jon M. Chu,"Drama,Music,Romance",PG-13,6.2,2010.0
9010,Ramona and Beezus,Elizabeth Allen Rosenbaum,"Comedy,Drama,Family",G,6.5,2010.0
9045,The Spy Next Door,Brian Levant,"Action,Comedy,Family",PG,5.4,2010.0
9069,Confessions,Tetsuya Nakashima,"Drama,Thriller",Not Rated,7.7,2010.0
9072,Ip Man 2,Wilson Yip,"Action,Biography,Drama",R,7.5,2010.0
