,Title,Director,Main Genres,Motion Picture Rating,Rating (Out of 10),Release Year
3244,Honest Thief,Mark Williams,"Action,Thriller",PG-13,6.0,2020.0
3261,The Paramedic,Carles Torras,"Crime,Drama,Thriller",TV-MA,5.7,2020.0
3262,Hubie Halloween,Steven Brill,"Comedy,Horror,Mystery",PG-13,5.2,2020.0
3325,Dolittle,Stephen Gaghan,"Adventure,Comedy,Family",PG,5.6,2020.0
3328,Bloodshot,Dave Wilson,"Action,Adventure,Sci-Fi",PG-13,5.7,2020.0
3386,Unpregnant,Rachel Lee Goldenberg,"Comedy,Drama",PG-13,6.5,2020.0
3391,Finding You,Brian Baugh,"Drama,Romance",PG,6.4,2020.0
3492,Lucy Shimmers and the Prince of Peace,Rob Diamond,"Drama,Family",TV-G,7.1,2020.0
3517,The Croods: A New Age,Joel Crawford,"Animation,Adventure,Comedy",PG,6.9,2020.0
3552,The Dark and the Wicked,Bryan Bertino,Horror,Not Rated,6.1,2020.0
3639,The Secret: Dare to Dream,Andy Tennant,"Drama,Romance",PG,6.5,2020.0
3689,Safety,Reginald Hudlin,"Biography,Drama,Sport",PG,6.8,2020.0
3887,Peninsula,Sang-ho Yeon,"Action,Horror,Thriller",Not Rated,5.5,2020.0
3904,Godmothered,Sharon Maguire,"Comedy,Drama,Family",PG,6.1,2020.0
3982,The Social Dilemma,Jeff Orlowski-Yang,"Documentary,Drama",PG-13,7.6,2020.0
4049,Words on Bathroom Walls,Thor Freudenthal,"Drama,Romance",PG-13,7.2,2020.0
4051,The Princess Switch: Switched Again,Mike Rohl,"Comedy,Drama,Family",TV-G,5.4,2020.0
4070,Bill & Ted Face the Music,Dean Parisot,"Adventure,Comedy,Music",PG-13,5.9,2020.0
4175,Charm City Kings,Angel Manuel Soto,Drama,R,6.6,2020.0
4186,Escape from Pretoria,Francis Annan,"Biography,Crime,Mystery",PG-13,6.8,2020.0
4287,Inheritance,Vaughn Stein,"Drama,Mystery,Thriller",TV-MA,5.6,2020.0
4302,Follow Me,Will Wernick,"Adventure,Horror,Mystery",R,5.4,2020.0
4358,Scoob!,Tony Cervone,"Animation,Adventure,Comedy",PG,5.6,2020.0
4419,Operation Christmas Drop,Martin Wood,"Comedy,Family,Romance",TV-PG,5.8,2020.0
4574,Hillbilly Elegy,Ron Howard,Drama,R,6.7,2020.0
4613,The Night Clerk,Michael Cristofer,"Crime,Drama,Mystery",R,5.6,2020.0
4616,An American Pickle,Brandon Trost,"Comedy,Fantasy",PG-13,5.7,2020.0
4628,The War with Grandpa,Tim Hill,"Comedy,Drama,Family",PG,5.6,2020.0
4636,Archive,Gavin Rothery,"Drama,Mystery,Sci-Fi",TV-MA,6.4,2020.0
4723,The Dry,Robert Connolly,"Crime,Drama,Mystery",R,6.8,2020.0
4763,Sputnik,Egor Abramenko,"Drama,Horror,Mystery",Not Rated,6.4,2020.0
4805,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,Haruo Sotozaki,"Animation,Action,Adventure",TV-14,8.2,2020.0
4966,Nocturne,Zu Quirke,"Drama,Horror,Music",Not Rated,5.7,2020.0
4971,On the Rocks,Sofia Coppola,"Comedy,Drama,Romance",R,6.4,2020.0
5047,Riders of Justice,Anders Thomas Jensen,"Action,Comedy,Drama",Not Rated,7.5,2020.0
5115,His House,Remi Weekes,"Drama,Horror,Thriller",TV-14,6.5,2020.0
5134,Wolfwalkers,"Ross Stewart,Tomm Moore","Animation,Action,Adventure",PG,8.0,2020.0
5212,My Octopus Teacher,"James Reed,Pippa Ehrlich",Documentary,TV-G,8.1,2020.0
5234,The Half of It,Alice Wu,"Comedy,Drama",PG-13,6.9,2020.0
5334,Four Good Days,Rodrigo García,Drama,R,6.5,2020.0
5352,Nine Days,Edson Oda,"Drama,Fantasy",R,6.8,2020.0
5385,2 Hearts,Lance Hool,"Drama,Romance",PG-13,6.3,2020.0
5443,The Rental,Dave Franco,"Drama,Horror,Mystery",R,5.7,2020.0
5447,The Prom,Ryan Murphy,"Comedy,Drama,Musical",PG-13,5.9,2020.0
5473,Horse Girl,Jeff Baena,"Drama,Mystery,Thriller",R,6.0,2020.0
5544,The Claus Family,Matthias Temmermans,"Comedy,Family,Fantasy",TV-PG,5.6,2020.0
5561,Gretel & Hansel,Oz Perkins,"Fantasy,Horror,Mystery",PG-13,5.5,2020.0
5677,Legacy of Lies,Adrian Bol,"Action,Thriller",R,5.1,2020.0
5680,Shirley,Josephine Decker,"Biography,Drama,Horror",R,6.1,2020.0
5735,Then Came You,Adriana Trigiani,"Comedy,Romance",PG-13,6.0,2020.0
5753,Superintelligence,Ben Falcone,"Action,Comedy,Romance",PG,5.4,2020.0
5774,The Way Back,Gavin O'Connor,"Drama,Sport",R,6.7,2020.0
5802,Life in a Year,Mitja Okorn,"Drama,Romance",PG-13,6.2,2020.0
5815,Lost Girls,Liz Garbus,"Crime,Drama,Mystery",R,6.2,2020.0
5882,The Unhealer,Martin Guigui,"Fantasy,Horror,Sci-Fi",Not Rated,5.6,2020.0
5883,Resistance,Jonathan Jakubowicz,"Biography,Drama,History",R,6.5,2020.0
5892,Wild Mountain Thyme,John Patrick Shanley,"Comedy,Drama,Romance",PG-13,5.7,2020.0
6000,The Wolf of Snow Hollow,Jim Cummings,"Comedy,Horror,Mystery",R,6.2,2020.0
6057,Shadow in the Cloud,Roseanne Liang,"Action,Horror,War",R,5.0,2020.0
6097,I Still Believe,"Andrew Erwin,Jon Erwin","Biography,Drama,Music",PG,6.5,2020.0
6187,Worth,Sara Colangelo,"Biography,Drama,History",PG-13,6.8,2020.0
6204,The Boys in the Band,Joe Mantello,Drama,R,6.8,2020.0
6394,Da 5 Bloods,Spike Lee,"Adventure,Drama,War",R,6.5,2020.0
6429,The Duke,Roger Michell,"Biography,Comedy,Crime",R,6.9,2020.0
6464,My Spy,Peter Segal,"Action,Comedy",PG-13,6.3,2020.0
6484,Tesla,Michael Almereyda,"Biography,Drama",PG-13,5.1,2020.0
6572,Irresistible,Jon Stewart,"Comedy,Drama",R,6.3,2020.0
6585,Minamata,Andrew Levitas,Drama,R,7.2,2020.0
6622,Joe Bell,Reinaldo Marcus Green,"Biography,Drama",R,6.2,2020.0
6637,Ma Rainey's Black Bottom,George C. Wolfe,"Drama,Music",R,6.9,2020.0
6687,Mank,David Fincher,"Biography,Comedy,Drama",R,6.8,2020.0
6696,Holidate,John Whitesell,"Comedy,Romance",TV-MA,6.1,2020.0
6735,Hamilton,Thomas Kail,"Biography,Drama,History",PG-13,8.3,2020.0
6855,Bloody Hell,Alister Grierson,"Action,Comedy,Horror",R,6.6,2020.0
7003,The SpongeBob Movie: Sponge on the Run,Tim Hill,"Animation,Adventure,Comedy",PG,5.9,2020.0
7033,Black Bear,Lawrence Michael Levine,"Comedy,Drama",R,6.5,2020.0
7035,Antebellum,"Christopher Renz,Gerard Bush","Drama,Horror,Mystery",R,5.8,2020.0
7036,Misbehaviour,Philippa Lowthorpe,"Comedy,Drama,History",Not Rated,6.3,2020.0
7056,Black Beauty,Ashley Avis,"Drama,Family",TV-PG,6.4,2020.0
7059,Monsters of Man,Mark Toia,"Action,Sci-Fi,Thriller",Not Rated,5.4,2020.0
7063,Christmas on the Square,Debbie Allen,"Comedy,Family,Musical",TV-PG,5.2,2020.0
7116,Relic,Natalie Erika James,"Drama,Horror,Mystery",R,6.0,2020.0
7138,Sunrise in Heaven,Waymon Boone,"Drama,Romance",TV-G,5.7,2020.0
7392,Spree,Eugene Kotlyarenko,"Comedy,Crime,Horror",Not Rated,5.9,2020.0
7399,Miss Americana,Lana Wilson,"Documentary,Biography,Drama",TV-MA,7.4,2020.0
7407,Zola,Janicza Bravo,"Comedy,Crime,Drama",R,6.5,2020.0
7442,The Very Excellent Mr. Dundee,Dean Murphy,Comedy,PG-13,5.0,2020.0
7528,Dream Horse,Euros Lyn,"Biography,Comedy,Drama",PG,6.9,2020.0
7537,Don't Listen,Ángel Gómez Hernández,"Adventure,Drama,Horror",TV-MA,6.1,2020.0
7643,Let Them All Talk,Steven Soderbergh,"Comedy,Drama",R,6.1,2020.0
7646,Fatale,Deon Taylor,Thriller,R,5.4,2020.0
7668,The Sleepover,Trish Sie,"Action,Adventure,Comedy",TV-PG,5.7,2020.0
7670,The Secret Garden,Marc Munden,"Drama,Family,Fantasy",PG,5.6,2020.0
7736,Ghosts of War,Eric Bress,"Fantasy,Horror,Thriller",R,5.6,2020.0
7751,Uncle Frank,Alan Ball,"Comedy,Drama",R,7.3,2020.0
7770,Anything for Jackson,Justin G. Dyck,"Horror,Mystery",Not Rated,6.3,2020.0
7788,The Invisible Man,Leigh Whannell,"Drama,Horror,Mystery",R,7.1,2020.0
7837,The Postcard Killings,Danis Tanovic,"Crime,Drama,Mystery",Not Rated,5.7,2020.0
7859,Supernova,Harry Macqueen,"Drama,Romance",R,6.9,2020.0
7882,Made in Italy,James D'Arcy,"Comedy,Drama,Romance",R,5.9,2020.0
7886,The High Note,Nisha Ganatra,"Drama,Music,Romance",PG-13,6.4,2020.0
7887,One Night in Miami...,Regina King,Drama,R,7.1,2020.0
7943,Night in Paradise,Park Hoon-jung,"Action,Crime,Drama",TV-MA,6.8,2020.0
7988,Come True,Anthony Scott Burns,"Horror,Sci-Fi",Unrated,6.0,2020.0
7993,Love Wedding Repeat,Dean Craig,"Comedy,Romance",TV-MA,5.6,2020.0
8004,Feel the Beat,Elissa Down,"Comedy,Drama,Family",TV-G,6.3,2020.0
8071,The Comeback Trail,George Gallo,"Comedy,Crime",R,5.7,2020.0
8083,"Quo Vadis, Aida?",Jasmila Zbanic,"Drama,History,War",Approved,8.0,2020.0
8201,Come Play,Jacob Chase,"Drama,Horror,Mystery",PG-13,5.7,2020.0
8282,Chemical Hearts,Richard Tanne,"Drama,Romance",R,6.3,2020.0
8330,Books of Blood,Brannon Braga,"Drama,Horror,Mystery",TV-MA,5.6,2020.0
8407,Valley Girl,Rachel Lee Goldenberg,"Comedy,Musical,Romance",PG-13,5.5,2020.0
8420,Summer of 85,François Ozon,"Drama,Romance",Not Rated,6.9,2020.0
8429,Clouds,Justin Baldoni,"Biography,Drama,Music",PG-13,7.5,2020.0
8516,Silver Skates,Michael Lockshin,"Adventure,Drama,Family",TV-MA,7.1,2020.0
8601,Spontaneous,Brian Duffield,"Comedy,Drama,Horror",R,6.5,2020.0
8609,Desperados,LP,"Comedy,Romance",TV-MA,5.2,2020.0
8629,The Secrets We Keep,Yuval Adler,"Drama,Thriller",R,5.9,2020.0
8633,Sergio,Greg Barker,"Biography,Drama,History",R,6.2,2020.0
8647,The One and Only Ivan,Thea Sharrock,"Adventure,Comedy,Drama",PG,6.6,2020.0
8706,Work It,Laura Terruso,"Comedy,Music",TV-14,6.2,2020.0
8744,Six Minutes to Midnight,Andy Goddard,"Drama,Thriller,War",PG-13,5.9,2020.0
8802,The Rhythm Section,Reed Morano,"Action,Drama,Mystery",R,5.4,2020.0
8920,Rose Island,Sydney Sibilia,"Adventure,Biography,Comedy",TV-14,7.0,2020.0
8962,Midnight at the Magnolia,Max McGuire,"Comedy,Romance",TV-G,5.8,2020.0
8998,The Willoughbys,"Kris Pearn,Rob Lodermeier,Cory Evans","Animation,Adventure,Comedy",PG,6.4,2020.0
9028,Kajillionaire,Miranda July,"Comedy,Crime,Drama",R,6.4,2020.0
9078,Over the Moon,"John Kahrs,Glen Keane","Animation,Adventure,Comedy",PG,6.3,2020.0
